GX,GY,GZ,AX,AY,AZ,timestamp,activity,session_id
-7.568,3.662,-13.245,-0.606,0.024,0.327,1746797450.921069,hammering,1
13.611,31.921,15.564,-1.187,-0.108,0.307,1746797451.015394,hammering,1
13.428,18.799,30.945,-0.921,0.093,0.297,1746797451.124665,hammering,1
-11.963,-3.723,-65.369,-0.574,0.01,0.199,1746797451.22571,hammering,1
35.95,79.346,21.118,-1.07,-0.015,0.28,1746797451.338545,hammering,1
10.742,5.676,30.762,-0.911,0.083,0.177,1746797451.443199,hammering,1
-20.874,1.16,-82.703,-0.103,0.034,-0.017,1746797451.557069,hammering,1
25.146,20.752,22.034,-0.906,-0.233,0.392,1746797451.830719,hammering,1
-2.319,2.258,12.939,-0.698,0.186,0.261,1746797451.830719,hammering,1
-21.362,-149.719,66.895,-0.89,0.886,0.989,1746797451.93083,hammering,1
20.874,-1.953,27.283,-0.88,-0.277,0.315,1746797452.034736,hammering,1
-4.089,-24.902,-37.354,-0.655,0.06,0.508,1746797452.09921,hammering,1
23.865,50.476,7.385,-1.431,-0.278,0.596,1746797452.233875,hammering,1
11.108,19.287,27.161,-0.892,0.011,0.345,1746797452.345752,hammering,1
-7.08,-3.357,-41.382,-0.702,-0.018,0.496,1746797452.407113,hammering,1
34.363,49.194,26.978,-1.016,-0.112,0.545,1746797452.554256,hammering,1
3.54,20.142,19.165,-0.733,0.128,0.18,1746797452.670167,hammering,1
-13.123,37.659,-68.97,-0.645,-0.075,0.33,1746797452.752544,hammering,1
15.991,39.185,21.423,-0.88,-0.158,0.267,1746797452.814634,hammering,1
5.676,4.272,7.141,-0.893,0.13,0.368,1746797452.929308,hammering,1
-9.155,16.479,-68.909,-0.294,-0.01,0.107,1746797453.155774,hammering,1
17.639,35.278,25.391,-0.95,-0.163,0.23,1746797453.155774,hammering,1
-3.113,-33.569,-23.621,-0.678,0.083,0.405,1746797453.263757,hammering,1
11.78,23.132,24.963,-1.441,-0.065,0.541,1746797453.357243,hammering,1
8.606,-8.911,20.081,-0.901,-0.038,0.408,1746797453.470829,hammering,1
-7.996,-46.936,-49.072,-0.773,0.001,0.584,1746797455.322823,hammering,1
12.512,4.15,17.273,-0.964,-0.169,0.227,1746797455.322823,hammering,1
9.46,-16.052,20.874,-1.134,0.036,0.553,1746797455.332669,hammering,1
16.418,15.686,24.902,-0.954,-0.022,0.368,1746797455.332669,hammering,1
15.198,38.635,16.174,-0.686,-0.144,0.358,1746797455.350583,hammering,1
-29.968,-93.994,72.388,-1.364,0.729,0.728,1746797455.359165,hammering,1
16.357,10.376,5.005,-0.922,-0.157,0.387,1746797455.359165,hammering,1
-0.854,6.714,-0.977,-0.833,0.002,0.271,1746797455.361062,hammering,1
12.207,-1.038,-8.057,-1.052,-0.002,0.33,1746797455.374503,hammering,1
-2.686,-24.963,-2.441,-0.961,0.016,0.198,1746797455.374503,hammering,1
1.648,-24.353,28.442,-0.951,0.062,0.316,1746797455.422184,hammering,1
-0.977,-4.944,-38.513,-0.732,0.086,0.586,1746797455.520672,hammering,1
33.325,-4.578,22.583,-0.875,-0.047,0.636,1746797455.618966,hammering,1
-8.118,-75.745,30.396,-0.635,0.088,0.513,1746797455.708618,hammering,1
-11.536,30.945,-59.57,-0.741,-0.134,0.476,1746797455.831077,hammering,1
22.583,104.492,24.17,-0.588,-0.071,0.423,1746797455.924414,hammering,1
-0.244,14.648,-1.404,-0.782,0.046,0.354,1746797456.03288,hammering,1
-51.453,-2.808,-8.423,-2.567,-1.916,0.821,1746797456.135656,hammering,1
9.399,5.737,28.503,-0.898,-0.054,0.218,1746797456.33076,hammering,1
-7.446,-17.029,-20.874,-0.753,0.031,0.422,1746797456.446895,hammering,1
-16.907,-41.626,5.31,-1.709,-0.405,0.684,1746797456.540896,hammering,1
